Year,Country,AverageTemperature,split
1855,Argentina,17.7,-0.12448644950003517
1856,Argentina,19.7,-1.383946007148858
1857,Argentina,19.4,0.46559577242576866
1858,Argentina,18.1,-0.3976902432875863
1859,Argentina,19.8,3.046651699564366
1860,Argentina,18.4,0.4643334106322948
1861,Argentina,20.1,-1.9795058481643046
1862,Argentina,19.0,-0.6121365288491029
1863,Argentina,20.0,-0.8278569238900457
1864,Argentina,19.6,0.795088220460926
1865,Argentina,20.6,-0.25247208375647706
1866,Argentina,20.3,0.5483598999333196
1867,Argentina,20.4,-1.1713881897740752
1868,Argentina,19.4,1.0003615665442678
1869,Argentina,19.6,-1.8906046065810027
1870,Argentina,20.3,-1.6632547299443887
1871,Argentina,19.6,-0.2682018329636225
1872,Argentina,19.3,0.3269353769099411
1873,Argentina,19.9,-0.29621618913315945
1874,Argentina,19.9,1.6520296619635908
1875,Argentina,19.2,-1.4555100262425626
1876,Argentina,18.9,-0.16800493981729853
1877,Argentina,19.5,0.24978286435727218
1878,Argentina,18.6,0.2670657107639805
1879,Argentina,19.6,-0.6727557458317543
1880,Argentina,20.4,1.247682659751161
1881,Argentina,20.6,-0.2805580579988103
1882,Argentina,19.0,0.6504796002145882
1883,Argentina,20.0,-0.3355796367685734
1884,Argentina,19.6,-1.9787618592633487
1885,Argentina,19.3,-1.3673955506019915
1886,Argentina,20.3,0.3854547230924653
1888,Argentina,20.0,-0.33921685074162333
1889,Argentina,19.0,0.21737820304131428
1891,Argentina,19.4,0.07608739879793694
1892,Argentina,19.8,-2.0217786528584765
1893,Argentina,20.9,-0.24897160360167034
1894,Argentina,19.6,1.719055865327596
1895,Argentina,19.9,-0.6161600954608243
1896,Argentina,19.8,-1.1560057090431175
1897,Argentina,20.5,-1.0143236202885824
1898,Argentina,19.7,0.11423273922865458
1899,Argentina,20.5,0.805188343351358
1900,Argentina,19.6,1.8934353128944201
1901,Argentina,20.7,0.9933322818907829
1902,Argentina,19.9,0.1929402146337434
1903,Argentina,19.1,0.01961421588965646
1904,Argentina,18.8,-0.5271209380547734
1905,Argentina,19.1,0.013950741451715718
1906,Argentina,19.2,0.28285866410505944
1907,Argentina,19.5,-1.3794373862779927
1908,Argentina,19.6,-1.9949940892680134
1909,Argentina,18.8,-0.17267523753102082
1910,Argentina,20.0,-1.4626687416060813
1911,Argentina,19.6,1.1389024116575222
1912,Argentina,20.8,-0.18344350663431153
1913,Argentina,20.0,1.7948402786900213
1914,Argentina,19.3,-0.3303898301832033
1915,Argentina,20.4,0.25180257412111534
1916,Argentina,19.6,-0.3686533423166279
1917,Argentina,21.1,0.07921370771354888
1918,Argentina,20.4,-1.4578076496721053
1919,Argentina,20.2,0.320292245077934
1921,Argentina,20.5,-0.5590588328825434
1922,Argentina,20.0,0.7643309562259663
1923,Argentina,18.9,1.1397785998031562
1925,Argentina,20.4,0.26460555315195583
1926,Argentina,20.2,0.8898104080786455
1927,Argentina,19.5,-0.9682396023651265
1928,Argentina,19.5,-0.433035356564247
1929,Argentina,20.4,-1.5748776104522972
1930,Argentina,20.4,-0.20742609457561245
1931,Argentina,20.7,0.729960992735465
1932,Argentina,20.3,0.6181880910639792
1933,Argentina,19.7,2.3666367157046193
1934,Argentina,19.6,0.6791282499758734
1935,Argentina,19.9,-1.1040382529051271
1936,Argentina,20.2,0.17240125535098239
1937,Argentina,20.7,-0.20485828276035997
1938,Argentina,21.2,-0.4141327644977567
1939,Argentina,18.9,1.106957372694818
1942,Argentina,21.2,0.9560335593075572
1943,Argentina,21.1,2.0729692730513203
1944,Argentina,21.8,1.6444361321570773
1945,Argentina,20.3,0.6698139605838551
1947,Argentina,20.0,0.7696445338523812
1948,Argentina,21.9,0.9425644881430519
1949,Argentina,20.5,-0.6150127618353276
1950,Argentina,20.3,-0.8359727028911014
1951,Argentina,20.1,1.3497399043898175
1952,Argentina,20.4,0.29068214263470504
1953,Argentina,20.5,0.7344490505524758
1954,Argentina,20.6,0.7079164717593075
1955,Argentina,20.0,0.32823684284494115
1956,Argentina,20.4,-0.4393735439929343
1957,Argentina,20.3,1.1685798834693797
1959,Argentina,20.1,-0.099579690316454
1961,Argentina,20.5,-0.7268967529290008
1962,Argentina,21.2,-0.034734616985274275
1964,Argentina,19.5,0.4977408690373208
1965,Argentina,19.0,-1.1359144097987404
1966,Argentina,19.2,-0.6110622180819532
1967,Argentina,21.7,-1.205605748141397
1968,Argentina,20.1,1.1350374316310778
1969,Argentina,21.4,0.6627400084043692
1971,Argentina,21.0,-1.2445456577268885
1972,Argentina,20.6,0.9712709607451573
1973,Argentina,19.9,-0.5642109614326405
1974,Argentina,19.4,-0.7420702594163437
1975,Argentina,21.1,0.7952216359427365
1976,Argentina,19.8,-1.2668565103133271
1977,Argentina,20.8,0.1148974855578845
1978,Argentina,21.0,0.3235347000734627
1979,Argentina,20.1,-2.166075463483727
1980,Argentina,20.7,-0.08607680464575655
1981,Argentina,20.5,0.17235119647132993
1982,Argentina,21.2,1.480920236939651
1983,Argentina,22.2,0.13767020052792717
1984,Argentina,18.8,-0.1636243634282987
1985,Argentina,21.2,1.293667955321609
1986,Argentina,21.3,0.5335650144330407
1987,Argentina,19.8,-1.736114025463346
1988,Argentina,21.7,-0.20858500227011106
1989,Argentina,21.8,0.8642378309967521
1990,Argentina,20.5,0.8761570370318476
1991,Argentina,19.6,0.24492763632941825
1992,Argentina,20.3,1.4457468489027667
1993,Argentina,20.7,0.4219629804464554
1994,Argentina,22.4,-1.321919512561155
1995,Argentina,22.5,-0.18532521519418607
1996,Argentina,20.5,0.8897201888395486
1997,Argentina,20.4,-0.004490286652445365
2000,Argentina,20.5,-0.2859049053736138
2001,Argentina,21.0,0.4059347271259865
2002,Argentina,20.5,0.38117441857922263
2003,Argentina,19.7,-0.2345757623924492
2004,Argentina,21.0,0.4868437475891981
2005,Argentina,20.3,0.13918194885392446
2006,Argentina,21.3,-0.2266104260320739
2007,Argentina,21.0,-0.974675880420432
2008,Argentina,21.7,-0.13358227927630797
2009,Argentina,20.3,1.2113202577758053
2010,Argentina,21.2,-0.19439503976315928
1852,Australia,26.9,-0.6505592449440225
1853,Australia,26.6,0.585146412001143
1854,Australia,26.9,-0.80372553282489
1855,Australia,25.7,-0.4245697777385078
1856,Australia,26.3,0.5062641936216439
1857,Australia,27.3,-0.957026141946227
1859,Australia,26.9,-1.1380007437260065
1860,Australia,25.6,0.1832006139110886
1861,Australia,25.9,-0.014230289269676535
1863,Australia,26.2,-1.0272627514423978
1864,Australia,25.7,-0.7239577122156994
1865,Australia,26.0,0.45565987725981816
1866,Australia,27.1,0.4567600083161957
1867,Australia,27.0,-1.046127421210743
1868,Australia,27.1,1.840178348074597
1869,Australia,26.4,0.4986974937611715
1870,Australia,26.3,0.6249208233432864
1871,Australia,27.4,-0.4005998422177094
1872,Australia,25.6,-0.8067560471591849
1873,Australia,26.8,-1.7043503149252894
1874,Australia,26.8,-1.2992167023767305
1875,Australia,25.3,-0.338077638304293
1876,Australia,26.8,-1.2734941378304356
1878,Australia,27.4,-0.022005978127217704
1880,Australia,27.4,-1.1662496839840768
1881,Australia,27.6,0.1334453536081922
1882,Australia,26.6,-0.6237264728987932
1883,Australia,27.4,0.33614035710094275
1884,Australia,26.0,0.39903821678609014
1885,Australia,27.9,0.3587726573633334
1886,Australia,26.2,0.09739839394872357
1888,Australia,28.7,-0.6140725448031429
1889,Australia,27.7,-0.5323018990407733
1890,Australia,26.5,-0.798023395984962
1891,Australia,27.1,1.0970766040940978
1892,Australia,26.7,0.14215409624093764
1893,Australia,26.9,1.1416231069060838
1894,Australia,26.7,-0.4704665722100479
1895,Australia,27.6,-0.7358264660125416
1896,Australia,28.1,1.3137629944610323
1897,Australia,27.4,-2.243140821809444
1898,Australia,27.4,-0.23769245112443443
